,clustering,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,0,1,0.0,60,38696.35859210656,0.0,0.0,0.0,0.0,0.0,52.248333333333385,39.484154039644146
1,0,1,1,0.0,60,6444.292996132568,0.0,0.0,0.0,0.0,0.0,52.254000000000055,21.315853558622663
2,0,2,1,0.0,67,14707.764288442422,0.0,0.0,0.0,0.0,0.0,27.22985074626867,32.86658217051062
3,0,3,2,0.03999318942545831,139,23198.25743742944,-0.2094218612907164,0.31189399398601514,0.1679291608600662,482.22059563332925,0.01702216993137334,35.32215717299579,35.081876671450296
4,0,4,2,0.027089126587266515,169,49114.16033490125,0.0,0.0,0.0,464.14413912710756,0.007743001005607785,62.1273525280899,36.169171047827845
5,0,5,2,0.00995978228548527,133,69889.409790462,-0.04684526135241965,-0.1006487689511435,-0.036145350670365485,4625.542970271874,0.042797975149562816,47.667576888285865,23.272325919318217
6,0,6,2,0.023987786674483175,632,291201.0000576904,-0.6086152795249689,0.6639564816018142,-0.5467000817979739,301.8280583437484,0.03598500363629567,57.38314080962344,23.50239105575027
7,0,7,2,0.03137505067151374,726,278867.23279811244,-0.5117320485581337,-0.4921786762515279,-0.8086239252051974,4718.569211965003,0.07897650052836393,55.17653179704148,16.539419312674816
8,0,8,2,0.03711696342871324,181,1673428.072184713,-0.7671220669653531,-0.017397171107293774,0.12246964600298808,623.1870560972407,0.010038630719182862,38.616396627566004,94.146371570519
9,0,9,3,0.015889209670511446,741,722961.8144492519,-0.2867980625273535,-0.035511478725549876,0.29676590691880017,872.1806701836512,0.01129657726170192,41.12673938362644,31.806705721091316
10,0,10,2,0.01710123965428203,583,523709.68241172953,-0.08014662323739213,-0.2522327847130127,0.34467125065315557,2450.4389288257644,0.003708920412013727,39.5436957790193,29.779346142071947
11,0,11,4,0.03915453195872609,314,6088996.9956896845,-0.44180017814949873,-0.3415125693615333,-0.0968890027105121,1475.3755131947264,0.013412879751870508,37.32917570884231,141.3235981000258
12,0,12,4,0.03834797713149899,1568,1001217.503271777,-0.4130111393432918,-0.07468882269188057,0.14352020137747445,1132.4502830302158,0.013046667407857546,57.475808267335154,18.962052470369287
13,0,13,7,0.044229309066999324,687,103808.44503046654,0.1540831526048078,-0.5177591476499305,-0.24413037546285948,2011.7868811786368,0.021983874469014546,42.69224081857949,21.909586974256946
14,0,14,3,0.020461776967075983,288,3734758.377656987,-0.2279523041179589,-0.3727963462343397,-0.18613113390139965,2402.6944805113726,0.020911712313630888,38.37781527223691,115.70594851624897
15,0,15,2,0.02322622817226502,440,175674.33921516463,-0.14074694583115288,-0.003524231037196646,0.3752880344566252,628.1138667284471,0.0050680236222419755,50.50016905224089,18.15468580374652
16,0,16,2,0.05573215504758121,140,1227469.9623711307,-0.8760184568809306,0.2202587540439132,-0.06704608671396986,686.6020713373526,0.012509406657018817,41.158500000000004,91.06142171467602
17,0,17,6,0.05548625982391567,831,669450.299225943,-0.3278824334940176,0.06436429940729034,-0.2270052737775813,979.588637671123,0.021863237877158048,37.07238551468472,37.389200998356294
18,0,18,2,0.03416207741730131,159,110379.34965771573,-0.1678244297474533,0.29967426517653173,-0.7577476695705612,848.4885805615229,0.07300252751658591,37.88926767676767,49.80740318490045
19,0,19,6,0.041539615163469955,912,5402812.730238819,-0.3549453399830597,-0.13682435895159628,-0.2107370730326089,1030.925540617338,0.026525993376361207,37.759748239099004,60.243456455105296
20,0,20,10,0.018538843755056496,1192,8109429.261056583,0.006304673514043768,-0.2599952523864424,-0.194424267709924,1785.8856976274838,0.017430429067540543,35.41942770135724,77.5293272653092
21,0,21,3,0.06347423904310504,257,32984.24729315267,-0.17633960161922713,-0.20649774534566986,-0.428694514369856,1470.0574485044574,0.03316697298665378,30.408385910652928,19.523118734483813
22,0,22,4,0.04163009463914574,410,2037428.8240025123,-0.22613008186964217,0.12865584023630428,-0.07079484088553077,664.3745400796093,0.025310261694160355,33.58914888217406,51.463129593656994
23,0,23,4,0.026586985918555406,964,604623.5994558742,-0.13968436537030945,-0.4468342757918385,-0.15372639103333618,2031.7202017529987,0.014756899569845208,55.529323082439966,15.12008959056969
24,0,24,2,0.021556812709209974,372,183513.43990972525,-0.2083686871076538,-0.02862740710979024,0.06384797913513351,974.9174961269514,0.008891370666474772,51.65759472717973,13.876715805108333
25,0,25,4,0.019882107434248838,979,1056188.639388374,-0.002520280382963265,-0.12044714600204506,-0.38607121952277773,1129.8826408731659,0.02185725978504226,41.188685872357674,28.964930863242397
26,0,26,4,0.05798122879680143,865,620615.6073507877,-0.2841756905618656,-0.08590493096101952,-0.5091064152502753,1110.7218447353496,0.0370432286591458,50.321195938092856,37.11349498414801
27,0,27,5,0.025855005729571168,2296,1773187.4056042908,-0.23508632018962689,-0.04319108539495531,-0.3508725510112573,1031.141502035625,0.029875671136693916,51.41716308097865,22.89138719860145
28,0,28,3,0.017728340840492702,319,183074.0733325329,0.1606566071985673,0.48892509980503523,0.284065249872498,380.4770946409683,0.011238108726435084,50.66780640704832,13.52444496292066
29,0,29,4,0.0359478651047319,622,476586.1687384469,-0.01914116378728007,0.028910851861905423,0.18319862931221342,1569.4483796567736,0.009885699185310551,58.290129610366435,38.410123516063784
30,0,30,8,0.0318195210140402,1831,1125647.065627089,-0.1308453464276537,-0.1058929696368009,-0.22630233744183587,1005.2517458122308,0.016059612442438722,50.17161820572593,17.089037361186286
